page_image,date_range_visible,date,day_of_week,banking_public_deposits,banking_other_deposits,banking_seven_day_bills,banking_govt_securities,banking_other_securities,banking_discounts,banking_advances,banking_reserve_notes_coin,banking_total_assets,reserve_proportion,issue_notes_total,issue_bullion_total,issue_govt_securities,issue_other_securities,ops_london_discounts,ops_country_discounts,ops_total_discounts,ops_london_advances,ops_country_advances,ops_total_advances,clearing_house_total,minimum_discount_rate,confidence,notes,balances_columns_count,operations_columns_count,page_notes
C1-38_068,1890-11-05 to 1890-11-12,1890-11-08,Saturday,,16737.0,25.0,13999.0,10561.0,,,10815.0,48876.0,34.7,34352.0,17902.0,,,192.0,3.0,195.0,8.0,55.0,417.0,19952.0,5,medium,Other deposits Sat reads 16595 actually; revising — uncertain between 16737 and 16595.,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov."
C1-38_068,1890-11-05 to 1890-11-12,1890-11-10,Monday,,17220.0,25.0,13999.0,10561.0,,,10879.0,49493.0,34.2,34377.0,17927.0,,,115.0,244.0,359.0,283.0,140.0,219.0,22011.0,5,medium,,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov."
C1-38_068,1890-11-05 to 1890-11-12,1890-11-11,Tuesday,,17470.0,25.0,13952.0,10611.0,,,10922.0,49967.0,33.8,34387.0,17937.0,,,333.0,57.0,390.0,245.0,122.0,200.0,21863.0,6,medium,Bank rate appears to have risen to 6% — header shows '5%-6%' with separate '6%' notation.,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov."
C1-38_068,1890-11-05 to 1890-11-12,1890-11-12,Wednesday,,,,,,,,,,,,,,,423.0,22.0,445.0,410.0,29.0,83.0,24216.0,6,medium,Wed 12th appears only in Operations columns on this spread; balances for that day are on the next spread.,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov."
C1-38_069,1890-11-12 to 1890-11-18 (Balances); 1890-11-13 to 1890-11-19 (Operations),1890-11-12,Wednesday,,,216.0,13952.0,10811.0,,,,51123.0,33.2,34508.0,18058.0,,,,,,,,,,6,medium,Wednesday 12 Nov is a Balances column only; no Operations column for this date on this spread. Public/Private deposit subtotal cells stacked; left them null to avoid misassignment.,6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible."
C1-38_069,1890-11-12 to 1890-11-18 (Balances); 1890-11-13 to 1890-11-19 (Operations),1890-11-13,Thursday,,,2.0,11958.0,10711.0,,,,52464.0,32.0,34473.0,18023.0,,,488.0,,,1246.0,174.0,,62153.0,6,medium,"Several Operations sub-rows have multiple subcategory entries (L/C, B/S) — only the clearly legible ones recorded.",6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible."
C1-38_069,1890-11-12 to 1890-11-18 (Balances); 1890-11-13 to 1890-11-19 (Operations),1890-11-14,Friday,,,2.0,10961.0,10710.0,,,,53611.0,33.3,35501.0,19051.0,,,384.0,,,1286.0,633.0,,25414.0,6,medium,,6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible."
C1-38_069,1890-11-12 to 1890-11-18 (Balances); 1890-11-13 to 1890-11-19 (Operations),1890-11-15,Saturday,,,2.0,10961.0,10708.0,,,,55518.0,35.0,36546.0,20096.0,,,539.0,,,1084.0,114.0,,22952.0,6,medium,,6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible."
C1-38_069,1890-11-12 to 1890-11-18 (Balances); 1890-11-13 to 1890-11-19 (Operations),1890-11-17,Monday,,,2.0,10961.0,10708.0,,,,56192.0,34.3,36608.0,20158.0,,,764.0,,,519.0,59.0,,26246.0,6,medium,,6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible."
C1-38_069,1890-11-12 to 1890-11-18 (Balances); 1890-11-13 to 1890-11-19 (Operations),1890-11-18,Tuesday,,,2.0,11002.0,10707.0,,,,57381.0,33.9,36786.0,20336.0,,,660.0,,,770.0,31.0,,19087.0,6,medium,,6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible."
C1-38_069,1890-11-12 to 1890-11-18 (Balances); 1890-11-13 to 1890-11-19 (Operations),1890-11-19,Wednesday,,,,,,,,,,,,,,,662.0,,,728.0,118.0,,20748.0,6,medium,Operations-only column (no Balances column for 19 Nov on this spread).,6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible."
C1-38_070,1890-11-19 to 1890-11-25 (Balances); 1890-11-20 to 1890-11-26 (Operations),1890-11-19,Wednesday,,,167.0,11008.0,10707.0,,,14552.0,58466.0,26.0,37835.0,21385.0,,,,,,,,,,6,medium,Wednesday is balances only; operations start Thursday. Public/Other deposits not cleanly split into a single column row - given as Bankers 15734 / Other Private 20631 etc.,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland."
C1-38_070,1890-11-19 to 1890-11-25 (Balances); 1890-11-20 to 1890-11-26 (Operations),1890-11-20,Thursday,,,165.0,11125.0,10707.0,,,14612.0,58000.0,35.8,38072.0,21622.0,,,31.0,47.0,78.0,150.0,616.0,,19240.0,6,medium,ops_total_discounts and advances totals show + or - variations not clear-cut totals.,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland."
C1-38_070,1890-11-19 to 1890-11-25 (Balances); 1890-11-20 to 1890-11-26 (Operations),1890-11-21,Friday,,,165.0,11125.0,10707.0,,,14410.0,57355.0,36.3,38129.0,21679.0,,,9.0,95.0,104.0,8.0,530.0,,20326.0,6,medium,,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland."
C1-38_070,1890-11-19 to 1890-11-25 (Balances); 1890-11-20 to 1890-11-26 (Operations),1890-11-22,Saturday,,,165.0,11125.0,10707.0,,,14698.0,56558.0,36.4,38208.0,21958.0,,,8.0,9.0,17.0,250.0,309.0,,18168.0,6,medium,,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland."
C1-38_070,1890-11-19 to 1890-11-25 (Balances); 1890-11-20 to 1890-11-26 (Operations),1890-11-24,Monday,,,165.0,11125.0,10707.0,,,14765.0,55705.0,39.0,38234.0,21784.0,,,7.0,18.0,25.0,252.0,629.0,,20897.0,6,medium,,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland."
C1-38_070,1890-11-19 to 1890-11-25 (Balances); 1890-11-20 to 1890-11-26 (Operations),1890-11-25,Tuesday,,,165.0,9625.0,10707.0,,,16282.0,55634.0,43.0,39637.0,23387.0,,,5.0,118.0,123.0,100.0,268.0,,16854.0,6,medium,,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland."
C1-38_070,1890-11-19 to 1890-11-25 (Balances); 1890-11-20 to 1890-11-26 (Operations),1890-11-26,Wednesday,,,,,,,,,,,,,,,9.0,34.0,43.0,20.0,374.0,,19231.0,6,medium,Operations-only column (Wednesday 26 Nov); no balances column for this date on this spread.,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland."
C1-38_071,1890-11-26 to 1890-12-02,1890-11-26,Wednesday,3438.0,,166.0,9625.0,10906.0,,,16502.0,56817.0,42.8,39940.0,23490.0,,,,,,,,,,6,medium,"Wednesday is balances-only column; operations begin Thursday. Public deposits total 3438 shown in summary row; individual subcategories: Exchequer 1342, Other Public 1561, Council of India 532, Supreme Court 320.",6,6,"Minimum Rate of Discount 6%. Operations side has 6 columns spanning Thursday Nov 27 to Wednesday Dec 3, plus a Week's Total column. Balances side covers Wed Nov 26 to Tue Dec 2. Red-ink marginal notes show gold movements to/from Mint, Lisbon, Portugal, Brazil, etc. Many subcategory rows (Exchequer, Council of India, Bankers, Other Private Deposits, etc.) are legible but only the aggregate fields requested in schema are populated where confident."
C1-38_071,1890-11-26 to 1890-12-02,1890-11-27,Thursday,,,165.0,9625.0,10906.0,,,16503.0,56669.0,42.5,39930.0,23480.0,,,14.0,33.0,47.0,121.0,209.0,347.0,55480.0,6,medium,Exchequer 1342? actually 1342; figures legible.,6,6,"Minimum Rate of Discount 6%. Operations side has 6 columns spanning Thursday Nov 27 to Wednesday Dec 3, plus a Week's Total column. Balances side covers Wed Nov 26 to Tue Dec 2. Red-ink marginal notes show gold movements to/from Mint, Lisbon, Portugal, Brazil, etc. Many subcategory rows (Exchequer, Council of India, Bankers, Other Private Deposits, etc.) are legible but only the aggregate fields requested in schema are populated where confident."
C1-38_071,1890-11-26 to 1890-12-02,1890-11-28,Friday,,,165.0,9625.0,10906.0,,,16298.0,56395.0,42.2,39960.0,23519.0,,,6.0,67.0,73.0,335.0,751.0,1086.0,23032.0,6,medium,Some advances totals approximated from handwriting.,6,6,"Minimum Rate of Discount 6%. Operations side has 6 columns spanning Thursday Nov 27 to Wednesday Dec 3, plus a Week's Total column. Balances side covers Wed Nov 26 to Tue Dec 2. Red-ink marginal notes show gold movements to/from Mint, Lisbon, Portugal, Brazil, etc. Many subcategory rows (Exchequer, Council of India, Bankers, Other Private Deposits, etc.) are legible but only the aggregate fields requested in schema are populated where confident."
C1-38_071,1890-11-26 to 1890-12-02,1890-11-29,Saturday,,,165.0,9625.0,10906.0,,,16451.0,55680.0,43.4,39953.0,23503.0,,,26.0,22.0,48.0,40.0,86.0,605.0,22389.0,6,low,Reserve % reading uncertain (could be 43.4 or 48.4).,6,6,"Minimum Rate of Discount 6%. Operations side has 6 columns spanning Thursday Nov 27 to Wednesday Dec 3, plus a Week's Total column. Balances side covers Wed Nov 26 to Tue Dec 2. Red-ink marginal notes show gold movements to/from Mint, Lisbon, Portugal, Brazil, etc. Many subcategory rows (Exchequer, Council of India, Bankers, Other Private Deposits, etc.) are legible but only the aggregate fields requested in schema are populated where confident."
C1-38_071,1890-11-26 to 1890-12-02,1890-12-01,Monday,,,165.0,9625.0,10906.0,,,16513.0,55310.0,44.0,39995.0,23545.0,,,25.0,41.0,66.0,690.0,195.0,1184.0,29855.0,6,medium,,6,6,"Minimum Rate of Discount 6%. Operations side has 6 columns spanning Thursday Nov 27 to Wednesday Dec 3, plus a Week's Total column. Balances side covers Wed Nov 26 to Tue Dec 2. Red-ink marginal notes show gold movements to/from Mint, Lisbon, Portugal, Brazil, etc. Many subcategory rows (Exchequer, Council of India, Bankers, Other Private Deposits, etc.) are legible but only the aggregate fields requested in schema are populated where confident."
C1-38_071,1890-11-26 to 1890-12-02,1890-12-02,Tuesday,,,165.0,9625.0,10906.0,,,16555.0,55019.0,44.5,40192.0,23742.0,,,8.0,35.0,43.0,60.0,83.0,470.0,20081.0,6,medium,,6,6,"Minimum Rate of Discount 6%. Operations side has 6 columns spanning Thursday Nov 27 to Wednesday Dec 3, plus a Week's Total column. Balances side covers Wed Nov 26 to Tue Dec 2. Red-ink marginal notes show gold movements to/from Mint, Lisbon, Portugal, Brazil, etc. Many subcategory rows (Exchequer, Council of India, Bankers, Other Private Deposits, etc.) are legible but only the aggregate fields requested in schema are populated where confident."
C1-38_072,1890-12-03 to 1890-12-09,1890-12-03,Wednesday,,18370.0,193.0,9625.0,10706.0,,,16873.0,54585.0,45.2,40213.0,23963.0,,,,,,,,,,5,medium,Wednesday is a balances-only column (operations starts Thursday). Bank rate header shows 6% crossed/overlaid with 5% in red.,6,6,"Header shows 'Minimum Rate of Discount 6%' with '5%' annotated in red above the Wednesday column, indicating a rate change during the week (the new 5% rate applies from a point in this week). Operations side has an extra Wednesday (Dec 10) column making operations cover Thu Dec 4 – Wed Dec 10, with a 'Week's Total' final column. Many subtotal/public-deposit individual rows hard to disambiguate at this resolution; left as null where unclear."
C1-38_072,1890-12-03 to 1890-12-09,1890-12-04,Thursday,,18487.0,2.0,9625.0,10906.0,,,17464.0,55233.0,46.6,40977.0,24527.0,,,8.0,20.0,28.0,4.0,17.0,211.0,20246.0,5,medium,Public deposits subtotal column hard to read individually.,6,6,"Header shows 'Minimum Rate of Discount 6%' with '5%' annotated in red above the Wednesday column, indicating a rate change during the week (the new 5% rate applies from a point in this week). Operations side has an extra Wednesday (Dec 10) column making operations cover Thu Dec 4 – Wed Dec 10, with a 'Week's Total' final column. Many subtotal/public-deposit individual rows hard to disambiguate at this resolution; left as null where unclear."
C1-38_072,1890-12-03 to 1890-12-09,1890-12-05,Friday,,17821.0,2.0,9625.0,10906.0,,,17363.0,54698.0,47.0,40903.0,24453.0,,,149.0,86.0,235.0,11.0,355.0,961.0,22326.0,5,medium,,6,6,"Header shows 'Minimum Rate of Discount 6%' with '5%' annotated in red above the Wednesday column, indicating a rate change during the week (the new 5% rate applies from a point in this week). Operations side has an extra Wednesday (Dec 10) column making operations cover Thu Dec 4 – Wed Dec 10, with a 'Week's Total' final column. Many subtotal/public-deposit individual rows hard to disambiguate at this resolution; left as null where unclear."
C1-38_072,1890-12-03 to 1890-12-09,1890-12-06,Saturday,,17691.0,2.0,9625.0,10904.0,,,17481.0,54548.0,49.5,40914.0,24464.0,,,1.0,42.0,43.0,,103.0,295.0,18692.0,5,medium,,6,6,"Header shows 'Minimum Rate of Discount 6%' with '5%' annotated in red above the Wednesday column, indicating a rate change during the week (the new 5% rate applies from a point in this week). Operations side has an extra Wednesday (Dec 10) column making operations cover Thu Dec 4 – Wed Dec 10, with a 'Week's Total' final column. Many subtotal/public-deposit individual rows hard to disambiguate at this resolution; left as null where unclear."
C1-38_072,1890-12-03 to 1890-12-09,1890-12-08,Monday,,17886.0,2.0,9625.0,10904.0,,,17548.0,54991.0,47.1,40997.0,24547.0,,,37.0,63.0,100.0,29.0,562.0,230.0,21085.0,5,medium,,6,6,"Header shows 'Minimum Rate of Discount 6%' with '5%' annotated in red above the Wednesday column, indicating a rate change during the week (the new 5% rate applies from a point in this week). Operations side has an extra Wednesday (Dec 10) column making operations cover Thu Dec 4 – Wed Dec 10, with a 'Week's Total' final column. Many subtotal/public-deposit individual rows hard to disambiguate at this resolution; left as null where unclear."
C1-38_072,1890-12-03 to 1890-12-09,1890-12-09,Tuesday,,18069.0,2.0,9625.0,10734.0,,,17025.0,54466.0,46.3,40471.0,24021.0,,,61.0,40.0,101.0,,93.0,226.0,16660.0,5,medium,,6,6,"Header shows 'Minimum Rate of Discount 6%' with '5%' annotated in red above the Wednesday column, indicating a rate change during the week (the new 5% rate applies from a point in this week). Operations side has an extra Wednesday (Dec 10) column making operations cover Thu Dec 4 – Wed Dec 10, with a 'Week's Total' final column. Many subtotal/public-deposit individual rows hard to disambiguate at this resolution; left as null where unclear."
C1-38_073,1890-12-10 to 1890-12-16 (Balances); 1890-12-11 to 1890-12-17 (Operations),1890-12-10,Wednesday,1489.0,17553.0,183.0,9625.0,10734.0,3056.0,7918.0,17007.0,54521.0,46.2,40176.0,23726.0,,,,,,,,,,5,medium,Operations columns start Thursday; no operations data for Wednesday 10.,6,6,"Minimum Rate of Discount: 5%. Balances cover Wed 10 Dec - Tue 16 Dec 1890; Operations cover Thu 11 - Wed 17 Dec 1890. Red-ink marginal annotations show variations from previous Wednesday and bullion movements (e.g. 'Fm Rio', 'Fm Portugal', 'B Ayres 20', 'Paris 5', 'To Brazil 50', 'Fm Scotland 100', 'Fm Ireland 76', 'Imports 592', 'Exports 69', 'Total Increase 504/834'). Issue Dept govt/other securities rows not separately broken out on this page."
C1-38_073,1890-12-10 to 1890-12-16 (Balances); 1890-12-11 to 1890-12-17 (Operations),1890-12-11,Thursday,1722.0,17762.0,2.0,9625.0,10734.0,3006.0,7955.0,17125.0,54709.0,46.3,40226.0,23776.0,,,1.0,54.0,,422.0,135.0,773.0,17649.0,5,medium,"Operations 'On L' discount=1, 'On C'=54; advances B=422, S=326, C=135.",6,6,"Minimum Rate of Discount: 5%. Balances cover Wed 10 Dec - Tue 16 Dec 1890; Operations cover Thu 11 - Wed 17 Dec 1890. Red-ink marginal annotations show variations from previous Wednesday and bullion movements (e.g. 'Fm Rio', 'Fm Portugal', 'B Ayres 20', 'Paris 5', 'To Brazil 50', 'Fm Scotland 100', 'Fm Ireland 76', 'Imports 592', 'Exports 69', 'Total Increase 504/834'). Issue Dept govt/other securities rows not separately broken out on this page."
C1-38_073,1890-12-10 to 1890-12-16 (Balances); 1890-12-11 to 1890-12-17 (Operations),1890-12-12,Friday,1791.0,17974.0,2.0,9625.0,10734.0,2977.0,8026.0,16968.0,54644.0,46.0,40369.0,23919.0,,,5.0,75.0,,5.0,301.0,706.0,21029.0,5,medium,Clearing house figure '21029' read as 5-digit; could be 21029.,6,6,"Minimum Rate of Discount: 5%. Balances cover Wed 10 Dec - Tue 16 Dec 1890; Operations cover Thu 11 - Wed 17 Dec 1890. Red-ink marginal annotations show variations from previous Wednesday and bullion movements (e.g. 'Fm Rio', 'Fm Portugal', 'B Ayres 20', 'Paris 5', 'To Brazil 50', 'Fm Scotland 100', 'Fm Ireland 76', 'Imports 592', 'Exports 69', 'Total Increase 504/834'). Issue Dept govt/other securities rows not separately broken out on this page."
C1-38_073,1890-12-10 to 1890-12-16 (Balances); 1890-12-11 to 1890-12-17 (Operations),1890-12-13,Saturday,1898.0,18064.0,2.0,9625.0,10734.0,2827.0,8269.0,17022.0,54656.0,46.1,40257.0,23777.0,,,26.0,24.0,,1.0,469.0,599.0,20906.0,5,low,Public deposits Exchequer hard to read; banking_public_deposits taken from Exchequer row.,6,6,"Minimum Rate of Discount: 5%. Balances cover Wed 10 Dec - Tue 16 Dec 1890; Operations cover Thu 11 - Wed 17 Dec 1890. Red-ink marginal annotations show variations from previous Wednesday and bullion movements (e.g. 'Fm Rio', 'Fm Portugal', 'B Ayres 20', 'Paris 5', 'To Brazil 50', 'Fm Scotland 100', 'Fm Ireland 76', 'Imports 592', 'Exports 69', 'Total Increase 504/834'). Issue Dept govt/other securities rows not separately broken out on this page."
C1-38_073,1890-12-10 to 1890-12-16 (Balances); 1890-12-11 to 1890-12-17 (Operations),1890-12-15,Monday,2064.0,18737.0,2.0,9625.0,10734.0,2706.0,9080.0,17023.0,55344.0,45.3,40139.0,23689.0,,,8.0,14.0,,,220.0,377.0,27210.0,5,medium,,6,6,"Minimum Rate of Discount: 5%. Balances cover Wed 10 Dec - Tue 16 Dec 1890; Operations cover Thu 11 - Wed 17 Dec 1890. Red-ink marginal annotations show variations from previous Wednesday and bullion movements (e.g. 'Fm Rio', 'Fm Portugal', 'B Ayres 20', 'Paris 5', 'To Brazil 50', 'Fm Scotland 100', 'Fm Ireland 76', 'Imports 592', 'Exports 69', 'Total Increase 504/834'). Issue Dept govt/other securities rows not separately broken out on this page."
C1-38_073,1890-12-10 to 1890-12-16 (Balances); 1890-12-11 to 1890-12-17 (Operations),1890-12-16,Tuesday,2220.0,18431.0,2.0,9625.0,10734.0,2660.0,9099.0,17215.0,55548.0,45.5,40309.0,23859.0,,,2.0,39.0,,,53.0,174.0,20675.0,5,medium,,6,6,"Minimum Rate of Discount: 5%. Balances cover Wed 10 Dec - Tue 16 Dec 1890; Operations cover Thu 11 - Wed 17 Dec 1890. Red-ink marginal annotations show variations from previous Wednesday and bullion movements (e.g. 'Fm Rio', 'Fm Portugal', 'B Ayres 20', 'Paris 5', 'To Brazil 50', 'Fm Scotland 100', 'Fm Ireland 76', 'Imports 592', 'Exports 69', 'Total Increase 504/834'). Issue Dept govt/other securities rows not separately broken out on this page."
