canonical_counterparty,ai_counterparty_type,rule_based_type,confidence,classification_reason,evidence_terms,manual_review_required
Dudgeon & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Dufay & Isnard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Dunbar, Dicksons & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Duncan Fox & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Durant & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Dwindale & Ho,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
E & A Prior,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
E Beach Frn & Rep,unknown,other,0.0,no rule matched,[],True
E Bernouilli,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
E Downs & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
E Girdham & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
E H Brandts Son & Co,unknown,merchant,0.0,no rule matched,[],True
E J Cole,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
E Mansell + Ga Ellie & Co,unknown,merchant,0.0,no rule matched,[],True
E Sheldon & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
E Sieveking & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
E. & I. Vickers & Co,unknown,merchant,0.0,no rule matched,[],True
E. B. Meyes,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
E. C. M Da Costa,unknown,other,0.0,no rule matched,[],True
E. F. Oelricks & Co,unknown,merchant,0.0,no rule matched,[],True
E. H. Keeling & Son,unknown,other,0.0,no rule matched,[],True
E. Higgin & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
E. Lloyd & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
E. Tetley & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
E.Pandorf,unknown,other,0.0,no rule matched,[],True
Eady & Paris,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Eastern Amos & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Eastern Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Ebbie Vale Co & Robbinson,unknown,merchant,0.0,no rule matched,[],True
Edward Corry,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Edward Erolty & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Edward Higgin & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Edward Liddell Manager Of The Sheffield Union Banking Company,unknown,commercial_bank,0.0,no rule matched,[],True
Edward Luckie,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Edward Sparkhall,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Edwards Eastty & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Edwards Matthie,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Egyptian Commercial Trading Coy,merchant_trading_firm,merchant,0.6,"matched rules: commercial_bank, merchant_trading_firm","[""commercial"", ""trading""]",True
Egyptian Tubale Acct,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Ehrmann Bros,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Elder Stevens & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Elias & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Ellis Everington & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Ellis, Howell & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
English & Swedish Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
English Joint & Stock Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
English Scottish & Australian Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Escourt & Stanley,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Esdaile & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
European Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Ew Fernie,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Eyles Evans & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Eyre & Spottiswoode,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F & E Godsell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F Calvert,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F Castelli,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F Ede Son & Noyes,unknown,other,0.0,no rule matched,[],True
F Engelhardt,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F Harrison & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
F Huth & Co,merchant_bank,merchant_bank,0.95,curated match: Frederick Huth & Co — Anglo-German merchant bank,"[""huth""]",False
F J Montoya,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F Le Breton,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F Walter & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
F&A Delcomyn,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F. Bennoch & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
F. Bowes & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
F. De Lizardi & Co,unknown,merchant,0.0,no rule matched,[],True
F. Dunhill,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F. Gade & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F. Horne & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
F. T. Elworthy,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F.Elles Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
F.T. Barry,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Faudel & Phillips,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Favell Beddome & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Fecan Kerrison & Flanne,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Fenn Kemm & Fenn,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Feo Foss & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Field & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Finance Company Ld,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Fincham Matson Potts & Co,unknown,merchant,0.0,no rule matched,[],True
Finlay Campbell & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Finlay, Hodgeson & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Fisher King & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Fishers & Robinson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Fore Street Warehouse & Co Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
"Foster, Porter & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Fox & Thompson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Foy Morgan & Co,merchant_bank,merchant_bank,0.95,"curated match: J. P. Morgan / Morgan, Grenfell — Anglo-American merchant bank","[""morgan""]",False
Francis Ede Son & Co,unknown,merchant,0.0,no rule matched,[],True
Francis Scott,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Frangopulo Agelasto Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Fred Fratt,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Frederick Dunhill,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Frederick Huth & Co,merchant_bank,merchant_bank,0.95,curated match: Frederick Huth & Co — Anglo-German merchant bank,"[""huth""]",False
Frederick Sage,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Frederick Smee,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Frederick Youle,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Freinn Kennedy Percival (?),individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Frith Sands & Co,bill_broker,merchant,0.95,"curated match: Frith, Sands & Co — bill brokers prominent in 1866","[""frith sands""]",False
Fruhling & Goschen,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Frullen Baubury & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Fw Caseus,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G & I. A. Noble,unknown,other,0.0,no rule matched,[],True
G & J Prince,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G B Carr,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G Costen,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G E Mackieth,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G Friend,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G H & J F Wulff,unknown,other,0.0,no rule matched,[],True
G Loder,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G Peabody & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
G&R Dewhurst Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
G. & S. Kiteat,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G. Andreae & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
G. B. Yates & Son,unknown,other,0.0,no rule matched,[],True
G. Credit & Finance Coy Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
G. Hitchcock Williams & Co,unknown,merchant,0.0,no rule matched,[],True
G. Houghton & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G. J Thompson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G. J. Smith For The Shropshire Banking Coy,unknown,commercial_bank,0.0,no rule matched,[],True
G. Routledge & Sons Ld,unknown,other,0.0,no rule matched,[],True
G.F. Neame Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
G.G. Sandeman Sons Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gale & Frieud,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gauge & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Gb Oyates & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Gellatly, Hankey & Sewell",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gene Credit & Co Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Geo Bretsle & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Geo Gibbs & Son,individual_or_partnership,merchant_bank,0.55,"short bare name, no firm suffix",[],True
Geo Gore & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Geo Soanes & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Geo: Hitchcock W: H & Co,unknown,merchant,0.0,no rule matched,[],True
George Brettle & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
George Cross & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
George Johnson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
George Lawrence,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
George Peash,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
George Routledge & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
George Smeed,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
George Walker,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
George Wyatt,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gilbert Kerr & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Giles Loder,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gillespie Churchill & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Gillett Bros & Co,bill_broker,merchant,0.95,curated match: Gillett Brothers — bill brokers,"[""gillett""]",False
Gillson Cole & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Gilmour, Rankin, Strang & Co.",unknown,merchant,0.0,no rule matched,[],True
Gladstone Ewart & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Gledstanes & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Glyn & Co O/A Union Bank Of Scotland,commercial_bank,commercial_bank,0.7,matched rules: commercial_bank,"[""Bank of \u2026""]",False
Glyn Mills Currie,merchant_bank,other,0.95,"curated match: Glyn, Mills & Co — private bank operating in the City","[""glyn mills""]",False
Gorton & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Graham Tobias & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Green Humphry & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Greenwood & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Gresend & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Grierson, Cole & Co.",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Grissell Brothers & Co,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Grosscuth & Lubodlt,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Guaranty Trust Co Of New York,unknown,merchant,0.0,no rule matched,[],True
Guillaume Coster,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gunning & Duarell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gunning + Luarell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Gust Roos & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
H & C Kent,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H & D Sharpe,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H & R Fowler,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H + E Muggeridge,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H B Downing,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Ballin & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Bateman,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Bucknall & Sons Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
H C & Cabe,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Cox & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
H Davies,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H E + M Moses,unknown,other,0.0,no rule matched,[],True
H H Lindsay,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Hillby & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Hoffmann,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Huith,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H J Einthoven & Sons,unknown,other,0.0,no rule matched,[],True
H J Lias & Son,unknown,other,0.0,no rule matched,[],True
H L & C Edwards & Co,unknown,merchant,0.0,no rule matched,[],True
H Lancaster & Bull,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Lohnotamm,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H P Rouquette & Co,unknown,merchant,0.0,no rule matched,[],True
H Richard & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Sherwood Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H Waithman & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
H White & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
H Williamns & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
H. & J. Johnson & Co,unknown,merchant,0.0,no rule matched,[],True
H. A Joseph,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H. Bath & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H. Butler & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H. Clarkson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
H. D. Baleh,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H. J. V. Greenway,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"H. Rogess, Sons & Co",unknown,merchant,0.0,no rule matched,[],True
H. S. Lefevre & Co,unknown,merchant,0.0,no rule matched,[],True
H. T Morgan & Co,merchant_bank,merchant_bank,0.95,"curated match: J. P. Morgan / Morgan, Grenfell — Anglo-American merchant bank","[""morgan""]",False
H. Thurburn,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H. Varasseus,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H. W. Eaton,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H. W. Elder & Son,unknown,other,0.0,no rule matched,[],True
H.C. Heut,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
H.Kohnstamm,unknown,other,0.0,no rule matched,[],True
Haarbleichen Schumaum,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Haarbleicher Schumann,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hall & Gray,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hall & Nuttall,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Hanson, Smiths & Stephens",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hardcastle & Co.,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Harley Nephew & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Harper Burne & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Harryman & White,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hartman & Mallet,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Harvey & Hudsons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Harvey Stambridge,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Harwood Knight & Allen,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hatimal Discount Co Ltd,discount_house,discount_house,0.9,"matched rules: discount_house, industrial_or_corporate","[""discount house"", ""joint-stock company suffix""]",False
Hatsman & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Havenith & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hawes Stanbridge & Hedley,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Haycroft & Pethick,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Heilbut, Symons & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Heitz & Deveze,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hellertwaag Russel,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hen Geoff,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Henckell Du Buisson & Co,unknown,merchant,0.0,no rule matched,[],True
Henderson & Constable,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Henry Clarke & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Henry Cowell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Henry Dresser & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Henry Joachim,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Henry Kendall & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Henry Moul,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Henry Powell & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Heugh Balfour & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Heywood & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hicks Baylis & Hicks,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Higgins Eagle & Hutchinson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Higginson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hindley Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hinkpatrick & Belguy,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hinton Brothers & Co,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Hit Dellators,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hl Crohn,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hoare Buxton & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hocking Hitchock & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hoge & Williamson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hohler & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hoine Wahney,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hong Kong & Shanghai Banking Corporation,commercial_bank,commercial_bank,0.95,curated match: Hongkong and Shanghai Banking Corporation,"[""hong kong""]",False
Hood & Ward,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hop Planters Joint Stock Company,commercial_bank,other,0.8,matched rules: commercial_bank,"[""joint-stock""]",False
Hore + Gifford,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Horne & Watney,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Horstman & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hoston Megaw Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Howse & Mead,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Hugh Jones & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hy Rogers Sons & Co,unknown,merchant,0.0,no rule matched,[],True
Hy Sherwood & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Hyde Hodge & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
I & E Corderoy & Co,unknown,merchant,0.0,no rule matched,[],True
I B W Nevill & Co,unknown,merchant,0.0,no rule matched,[],True
I Isaacs,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
I T W Noakes,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
I. & B. Pearse & Co,unknown,merchant,0.0,no rule matched,[],True
I. Ciw Thaw & Co,unknown,merchant,0.0,no rule matched,[],True
I. E. Coleman,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
I. F. Pawson & Co,unknown,merchant,0.0,no rule matched,[],True
I. K. Gilliat & Co,unknown,merchant,0.0,no rule matched,[],True
I. Leonino & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
I. W. Cater Inman & Co,unknown,merchant,0.0,no rule matched,[],True
I. W. Cripps,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
I. W. Horsley,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
I.H.H. Holm,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Imp Merchant Credit Australia,merchant_trading_firm,other,0.7,matched rules: merchant_trading_firm,"[""merchants""]",False
Imp. Ottoman Government,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Imperial Ottoman Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Inglis & Wakefield,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
International Banking Corporation,commercial_bank,commercial_bank,0.95,curated match: National Bank Limited,"[""national bank""]",False
It Tixcsen & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Iwing, Ebsworth & Holmes",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J & A Crocker,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J & B Peade & Co,unknown,merchant,0.0,no rule matched,[],True
J & I Batten & Co,unknown,merchant,0.0,no rule matched,[],True
J & J Vickers & Co,unknown,merchant,0.0,no rule matched,[],True
J & R Morley,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J & T Hepburn & Sons,unknown,other,0.0,no rule matched,[],True
J & W J Courtenay,unknown,other,0.0,no rule matched,[],True
J & W Rider,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Bischoff & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Bulk Son & Co,unknown,merchant,0.0,no rule matched,[],True
J Butt Son & Co,unknown,merchant,0.0,no rule matched,[],True
J C Bailey,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Carter & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J Collinson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J D Park,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Davidge,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Davies & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Dowson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J E Ford,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J F Fixsen & Co,unknown,merchant,0.0,no rule matched,[],True
J Foot & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J H Dart,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J H N Loundes & Co,unknown,merchant,0.0,no rule matched,[],True
J H Randall,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J H Schroder & Co,merchant_bank,merchant_bank,0.95,curated match: J. Henry Schroder & Co — German-origin merchant bank,"[""schroder""]",False
J Hart & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J Hartley & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J Hash & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J J Buttress,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Jackson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J Jacobson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J L Lemme & Co,unknown,merchant,0.0,no rule matched,[],True
J L Lensome & Co,unknown,merchant,0.0,no rule matched,[],True
J Leonino & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J Main Sons & Co,unknown,merchant,0.0,no rule matched,[],True
